,avg_bml_mm3_per_slice,avg_thickness_mm,contact_area_mm2
avg_bml_mm3_per_slice,1.0,0.1799725203101399,-0.23559350515638028
avg_thickness_mm,0.1799725203101399,1.0,-0.32331769550661943
contact_area_mm2,-0.23559350515638028,-0.32331769550661943,1.0
