column,n_acl,n_mlki,mean_acl,mean_mlki,median_acl,median_mlki,q1_acl,q3_acl,q1_mlki,q3_mlki,zero_n_acl,zero_n_mlki,zero_pct_acl,zero_pct_mlki,welch_t_stat,welch_p_value,mannwhitney_u,mannwhitney_p_value,permutation_mean_diff,permutation_p_value
contact_area_mm2,430,149,244.53500168604654,125.67736004697987,269.32678250000004,41.131694,10.017385,410.35639875,0.0,237.750709,91,51,21.16279069767442,34.22818791946309,6.995142667952844,1.6664190092761506e-11,42549.5,1.7519910146515983e-09,-118.85764163906667,4.999750012499375e-05
avg_bml_mm3_per_slice,430,149,3907.13537327907,5217.765396026846,3397.553199,5214.462408,1956.9706205,5458.44135125,2816.481441,7412.943744,0,0,0.0,0.0,-4.906500214412423,1.7366513482774278e-06,23381.0,8.76729446461821e-07,1310.6300227477764,4.999750012499375e-05
avg_thickness_mm,430,149,1.7129346093023254,1.7355523557046981,1.7038405,1.72498,1.63666675,1.78419525,1.65101,1.812283,0,0,0.0,0.0,-1.9963870731099456,0.04698261096346077,28215.0,0.029970485515163972,0.022617746402372685,0.04329783510824459
