outcome,n,n_acl,n_mlki,beta_mlki_vs_acl,se_mlki_vs_acl,t_stat_mlki_vs_acl,p_value_mlki_vs_acl,ci95_low_mlki_vs_acl,ci95_high_mlki_vs_acl,beta_age,beta_male,r_squared,adjusted_significant_p05
contact_area_mm2,579,430,149,-110.78070748597226,18.95551514956761,-5.844246733041135,8.529156074154742e-09,-148.0112011253462,-73.55021384659831,0.13297201698579944,70.00267666094956,0.09285999580335214,True
avg_bml_mm3_per_slice,579,430,149,1326.816394176346,261.30857841918487,5.077584525556215,5.171607569986667e-07,813.5806793996243,1840.0521089530675,-3.0125108056282186,-16.899649013141662,0.04481751137715162,True
avg_thickness_mm,579,430,149,0.03744865550640189,0.011038329616802508,3.392601671307013,0.0007399266739991665,0.01576829191063577,0.059129019102168015,-0.0011570474451454,0.06136866058936579,0.08442786614640241,True
